1,-54,-47,-42,-39,-52,-51
1,-45,-40,-47,-50,-55,-52
1,-47,-43,-50,-47,-52,-45
1,-51,-52,-51,-51,-47,-45
1,-52,-49,-46,-42,-58,-59
1,-52,-59,-53,-52,-53,-59
1,-44,-41,-41,-41,-52,-50
1,-58,-49,-45,-40,-57,-47
1,-52,-48,-49,-45,-62,-52
1,-47,-45,-59,-46,-53,-54
1,-56,-52,-50,-46,-51,-53
1,-56,-62,-49,-40,-52,-51
1,-52,-41,-46,-45,-56,-54
1,-54,-42,-47,-44,-49,-47
1,-47,-47,-49,-47,-43,-39
1,-46,-40,-50,-47,-54,-54
1,-50,-50,-55,-47,-62,-61
1,-47,-56,-51,-50,-56,-57
1,-50,-52,-54,-47,-66,-59
1,-47,-56,-50,-44,-57,-56
1,-52,-50,-51,-49,-57,-57
1,-45,-45,-59,-45,-58,-51
1,-53,-49,-49,-47,-50,-55
1,-48,-42,-45,-49,-48,-47
1,-40,-36,-47,-45,-45,-44
1,-61,-48,-46,-43,-54,-49
1,-59,-49,-46,-44,-52,-49
1,-45,-47,-41,-39,-64,-52
1,-40,-42,-41,-40,-63,-54
1,-79,-54,-45,-42,-48,-58
1,-51,-50,-42,-40,-50,-58
1,-45,-41,-53,-44,-63,-56
1,-51,-46,-57,-43,-57,-55
2,-45,-41,-38,-40,-51,-60
2,-44,-41,-40,-41,-51,-50
2,-52,-53,-46,-43,-52,-58
2,-55,-58,-45,-43,-49,-51
2,-44,-41,-42,-41,-44,-46
2,-41,-41,-41,-40,-47,-51
2,-49,-40,-37,-34,-48,-45
2,-47,-40,-39,-35,-48,-45
2,-43,-42,-42,-36,-57,-56
2,-43,-41,-49,-39,-55,-51
2,-41,-38,-34,-36,-46,-40
2,-39,-36,-36,-35,-46,-40
2,-40,-40,-35,-36,-39,-39
2,-46,-41,-35,-31,-43,-37
2,-45,-38,-41,-35,-48,-39
2,-56,-53,-41,-41,-46,-45
2,-46,-38,-39,-34,-44,-39
2,-47,-41,-40,-39,-61,-47
2,-46,-41,-41,-40,-57,-47
2,-58,-46,-47,-41,-47,-44
2,-50,-46,-47,-42,-51,-48
2,-43,-41,-44,-38,-43,-41
2,-60,-53,-38,-38,-40,-35
2,-59,-58,-40,-43,-40,-35
2,-67,-62,-46,-47,-48,-45
2,-45,-45,-59,-50,-50,-47
2,-45,-41,-48,-46,-34,-33
2,-42,-44,-48,-51,-48,-44
2,-41,-42,-47,-48,-51,-46
2,-40,-35,-53,-43,-57,-57
